orient,distractor,kappa,subject,resp,respRT,acc,traj
96,0,50,2,41.5,2.129848003,-54.5,35.5
164,0,5000,2,NaN,0,NaN,0
25,0,100,2,91,1.329599857,66,84
139,1,50,2,NaN,0,NaN,0
75,0,50,2,179,0.71788311,-76,40
46,0.15,5000,2,NaN,0,NaN,0
114,1,100,2,86,1.624071121,-28,-60
100,1,50,2,NaN,0,NaN,0
104,0.15,50,2,25,2.541872025,-79,-92
177,1,100,2,NaN,0,NaN,0
151,0.15,100,2,NaN,0,NaN,0
97,1,100,2,142,2.553151846,45,115
69,0,50,2,NaN,0,NaN,0
125,0,50,2,128,2.294327974,3,42
114,0.15,5000,2,NaN,0,NaN,0
12,0.15,100,2,69,2.553502083,57,65
76,0.15,5000,2,NaN,0,NaN,0
125,0.15,100,2,51,2.212206125,-74,30
70,0.15,100,2,NaN,0,NaN,0
94,0,5000,2,55,1.329636097,-39,-9
71,0,100,2,NaN,0,NaN,0
100,0,100,2,31,1.035916805,-69,-7
117,0.15,50,2,NaN,0,NaN,0
133,0.15,50,2,69.5,2.506088972,-63.5,-96.5
131,0,100,2,NaN,0,NaN,0
96,0,100,2,51,2.247511148,-45,-69
57,1,100,2,NaN,0,NaN,0
13,1,100,2,74.5,2.494335175,61.5,-28.5
2,0,5000,2,NaN,0,NaN,0
80,0.15,100,2,108,1.294377089,28,74
23,0.15,50,2,NaN,0,NaN,0
75,0.15,100,2,73.5,1.811966181,-1.5,-33.5
15,0.15,50,2,NaN,0,NaN,0
104,0,100,2,152.5,2.459033966,48.5,94.5
38,1,100,2,NaN,0,NaN,0
54,0.15,100,2,1,2.529606104,-53,-55
150,1,100,2,NaN,0,NaN,0
90,0.15,50,2,3,2.106093884,-87,-89
150,0,100,2,NaN,0,NaN,0
119,1,5000,2,NaN,1.941465855,NaN,0
175,1,50,2,NaN,0,NaN,0
147,1,5000,2,161,2.259058952,14,78
69,1,5000,2,NaN,0,NaN,0
158,0,5000,2,147.5,2.235472918,-10.5,127.5
147,0,5000,2,NaN,0,NaN,0
113,0.15,100,2,121,2.188456774,8,46
154,0,50,3,165,0.256993055,11,18
106,0.15,5000,3,111,1.42393589,5,104
160,0.15,50,3,143,0.706422091,-17,-26
109,1,5000,3,126,1.082510948,17,-38
145,0,5000,3,147,2.1999259,2,76
140,0,100,3,148,1.67079401,8,146
131,0,50,3,128,1.54140687,-3,60
120,0.15,100,3,124.5,1.964920998,4.5,8.5
170,1,100,3,173,1.376699209,3,66
177,1,100,3,180,1.412338972,3,162
100,0.15,5000,3,118.5,2.435537815,18.5,26.5
80,1,100,3,73.5,1.835500956,-6.5,-105.5
93,1,5000,3,90.5,2.458940983,-2.5,-3.5
175,1,5000,3,178,2.553144932,3,22
131,1,100,3,133,1.25903511,2,82
58,0,100,3,57,1.235629082,-1,-102
133,1,5000,3,130,1.306069136,-3,92
81,0,50,3,73.5,1.894330025,-7.5,19.5
81,1,100,3,77,1.141391993,-4,-76
57,1,100,3,60,1.094373941,3,-102
13,0,50,3,18,1.611968994,5,-96
51,1,5000,3,56,1.117996931,5,-66
64,1,50,3,55.5,2.070815086,-8.5,-119.5
4,0,50,3,177.5,2.094349861,-6.5,140.5
21,0.15,50,3,8.5,1.741491079,-12.5,-69.5
9,1,100,3,12,0.588649035,3,-166
21,1,100,3,9,1.588864088,-12,-66
129,0.15,5000,3,134,1.376977921,5,76
105,0.15,100,3,107,0.941563845,2,-18
105,0,100,3,107,1.200316191,2,54
162,1,5000,3,163,1.717864037,1,96
75,0.15,5000,3,67,2.518257856,-8,-64
37,0.15,100,3,46,0.858954906,9,-134
73,1,5000,3,68,1.165189981,-5,-56
16,1,5000,3,48,1.98888588,32,-124
30,0.15,100,3,36,1.047297955,6,-60
94,0.15,50,3,88,2.094338894,-6,-52
165,1,50,3,174,1.517953873,9,74
13,0,5000,3,25,1.647274971,12,-98
5,0,50,3,22,1.106525898,17,-62
152,1,100,3,149,1.400233984,-3,-8
137,0,100,3,145,0.929832935,8,44
146,1,5000,3,136,0.95350194,-10,86
163,0,100,3,140.5,1.329684019,-22.5,21.5
139,0.15,50,3,143.5,1.576684952,4.5,16.5
15,1,50,3,16.5,2.094728947,1.5,-66.5
58,0.15,5000,3,29,0.588829994,-29,22
52,0.15,5000,3,38,0.859043121,-14,34
74,0,50,3,67,0.906258106,-7,50
177,1,50,3,24.5,2.353134871,27.5,-147.5
98,0.15,50,3,93.5,0.976744175,-4.5,-4.5
47,0,100,3,30.5,1.282582045,-16.5,-146.5
98,0,50,3,127,2.529633045,29,114
165,0,50,3,162,1.482542992,-3,54
177,0,100,3,150,2.141428947,-27,72
51,0,50,3,49,0.835922956,-2,-56
127,1,100,3,135,0.917840004,8,46
152,0,5000,3,143,1.188497066,-9,94
167,1,5000,3,156,1.165220022,-11,100
130,0.15,50,3,127.5,2.517790079,-2.5,116.5
114,0.15,100,3,119,0.682679892,5,26
117,0.15,100,3,118,0.988487005,1,-42
160,0,50,3,174,1.659472942,14,78
133,0,100,3,140.5,1.800424099,7.5,-10.5
24,0,100,3,42.5,2.541482925,18.5,-49.5
155,0.15,100,3,151,1.35315299,-4,80
122,0.15,100,3,133,1.011986971,11,66
166,0,5000,3,164,0.859045982,-2,154
168,0,5000,3,165,1.329638004,-3,-14
52,0,5000,3,46,0.953164816,-6,-28
37,1,50,3,31,0.988814831,-6,-64
42,0,100,3,20,0.729631901,-22,18
17,0,100,3,10,1.188691854,-7,-130
144,1,50,3,161.5,1.965182066,17.5,61.5
100,1,5000,3,118.5,1.953560114,18.5,-4.5
103,0,100,3,108,0.600482941,5,24
39,0.15,50,3,31,2.25901103,-8,-126
52,1,5000,3,49,1.09432292,-3,-52
77,0.15,50,3,63,1.411998987,-14,13
105,1,5000,3,114,2.282571077,9,-5
162,0,100,3,172,2.494431973,10,45
29,0.15,100,3,13,1.906196833,-16,-70
24,0,50,3,25,0.717918158,1,18
120,0.15,5000,3,126,2.329885006,6,122
135,0.15,100,3,151,1.035621881,16,134
